time,latitude,longitude,depth,mag,magType,place,year,month
2023-10-11 00:41:55.908000+00:00,34.5364,62.0509,8.0,6.3,mww,"24 km NNW of Herāt, Afghanistan",2023,10
2023-10-07 08:40:11.361000+00:00,-5.4749,146.1439,52.0,6.9,mww,"48 km SE of Madang, Papua New Guinea",2023,10
2023-10-07 08:34:26.985000+00:00,-5.5729,146.138,55.0,6.7,mww,"54 km SE of Madang, Papua New Guinea",2023,10
2023-10-07 07:12:49.702000+00:00,34.5442,61.8891,8.0,6.3,mww,"25 km NNE of Zindah Jān, Afghanistan",2023,10
2023-10-07 06:41:03.327000+00:00,34.5982,61.9263,14.0,6.3,mww,"32 km NNE of Zindah Jān, Afghanistan",2023,10
2023-10-06 01:31:17.149000+00:00,30.1409,139.9683,10.0,6.1,mww,"Izu Islands, Japan region",2023,10
2023-10-05 01:59:58.562000+00:00,29.8466,139.9904,10.0,6.1,mww,"Izu Islands, Japan region",2023,10
2023-10-03 11:38:04.199000+00:00,29.9183,140.0108,10.0,6.0,mww,"Izu Islands, Japan region",2023,10
2023-09-13 11:49:15.813000+00:00,-36.2299,-97.9312,10.0,6.1,mww,West Chile Rise,2023,9
2023-09-12 11:03:17.243000+00:00,19.2355,121.2293,31.11,6.2,mww,"69 km N of Namuac, Philippines",2023,9
2023-09-09 14:43:24.563000+00:00,0.0018,119.7663,13.0,6.0,mww,"101 km N of Palu, Indonesia",2023,9
2023-09-08 22:11:01.405000+00:00,31.058,-8.3847,19.0,6.8,mww,"Al Haouz, Morocco",2023,9
2023-09-06 23:48:04.632000+00:00,-30.2737,-71.4817,36.0,6.3,mww,"38 km SSW of Coquimbo, Chile",2023,9
2023-08-17 17:04:48.770000+00:00,4.3463,-73.6199,10.0,6.1,mww,"10 km E of El Calvario, Colombia",2023,8
2023-08-17 16:41:01.780000+00:00,-0.3289,-19.5802,10.0,6.0,mww,central Mid-Atlantic Ridge,2023,8
2023-08-14 13:51:53.761000+00:00,13.347,147.5297,8.0,6.1,mww,Mariana Islands region,2023,8
2023-08-14 10:39:58.130000+00:00,-43.5041,39.1083,10.0,6.0,mww,Prince Edward Islands region,2023,8
2023-08-08 18:38:54.184000+00:00,-15.2082,-173.1883,42.0,6.1,mww,"105 km NE of Hihifo, Tonga",2023,8
2023-07-26 12:44:35.646000+00:00,-14.74,167.9135,13.0,6.4,mww,"96 km ENE of Port-Olry, Vanuatu",2023,7
2023-07-16 06:48:21.158000+00:00,54.3926,-160.762,25.0,7.2,mww,"2023 Sand Point, Alaska Earthquake",2023,7
2023-07-14 09:29:00.404000+00:00,14.9004,-93.9011,34.0,6.3,mww,"Offshore Chiapas, Mexico",2023,7
2023-07-10 20:28:26.195000+00:00,20.0634,-61.1021,14.0,6.6,mww,"278 km NNE of Codrington, Antigua and Barbuda",2023,7
2023-06-25 07:16:58.830000+00:00,-24.0818,-175.576,9.0,6.2,mww,south of Tonga,2023,6
2023-06-19 11:18:11.960000+00:00,-4.4729,144.8345,23.844,6.2,mww,"96 km ESE of Angoram, Papua New Guinea",2023,6
2023-06-18 21:59:17.213000+00:00,-48.6733,31.1318,8.0,6.0,mww,south of Africa,2023,6
2023-06-18 20:30:21.227000+00:00,23.1671,-108.6922,4.0,6.4,mww,Gulf of California,2023,6
2023-06-17 11:26:20.456000+00:00,-23.4652,-175.472,22.0,6.1,mww,"241 km SSW of ‘Ohonua, Tonga",2023,6
2023-06-16 19:10:51.064000+00:00,-23.5577,-175.6208,16.0,6.2,mww,"254 km SSW of ‘Ohonua, Tonga",2023,6
2023-06-16 08:11:34.184000+00:00,-23.5201,-175.9259,20.0,6.0,mww,"261 km SSW of ‘Ohonua, Tonga",2023,6
2023-05-31 02:21:23.997000+00:00,-49.6093,163.8553,14.778,6.3,mww,"Auckland Islands, New Zealand region",2023,5
2023-05-26 22:18:25.271000+00:00,-39.0059,-91.372,10.0,6.0,mww,West Chile Rise,2023,5
2023-05-26 10:03:24.100000+00:00,35.5294,140.5281,42.0,6.1,mww,"12 km SE of Narutō, Japan",2023,5
2023-05-25 03:05:32.956000+00:00,8.9223,-77.0904,13.0,6.5,mww,"45 km NE of Puerto Obaldía, Panama",2023,5
2023-05-23 06:41:58.609000+00:00,-22.9954,170.3067,10.0,6.1,mww,"290 km E of Vao, New Caledonia",2023,5
2023-05-21 14:56:48.208000+00:00,-43.3991,39.3035,28.0,6.8,mww,Prince Edward Islands region,2023,5
2023-05-20 02:09:54.333000+00:00,-22.956,170.5524,10.0,6.5,mww,southeast of the Loyalty Islands,2023,5
2023-05-20 01:50:59.158000+00:00,-23.0421,170.5603,27.309,7.1,mww,southeast of the Loyalty Islands,2023,5
2023-05-19 02:57:03.172000+00:00,-23.2063,170.7423,18.053,7.7,mww,southeast of the Loyalty Islands,2023,5
2023-05-05 05:42:04.365000+00:00,37.5476,137.2994,10.0,6.2,mww,"49 km NE of Anamizu, Japan",2023,5
2023-04-24 20:00:57.265000+00:00,-0.8082,98.5112,34.0,7.1,mww,"171 km SSE of Teluk Dalam, Indonesia",2023,4
2023-04-24 00:41:55.894000+00:00,-29.9574,-177.8386,46.755,7.1,mww,"Kermadec Islands, New Zealand",2023,4
2023-04-22 08:23:42.033000+00:00,-5.2611,125.585,4.0,6.2,mww,Banda Sea,2023,4
2023-04-19 09:06:03.150000+00:00,-5.9496,149.635,40.0,6.3,mww,"30 km NNE of Kandrian, Papua New Guinea",2023,4
2023-04-13 15:54:53.808000+00:00,49.215,-129.6178,7.0,6.0,mww,"237 km SW of Port McNeill, Canada",2023,4
2023-04-04 22:18:12.640000+00:00,7.5671,-82.3345,16.0,6.3,mww,"73 km S of Boca Chica, Panama",2023,4
2023-04-04 12:54:31.503000+00:00,13.7318,125.5376,10.0,6.2,mww,"124 km E of Gigmoto, Philippines",2023,4
2023-04-02 18:04:11.261000+00:00,-4.3229,143.1658,70.0,7.0,mww,"40 km ESE of Ambunti, Papua New Guinea",2023,4
2023-03-30 17:33:08.544000+00:00,-35.6663,-73.4965,26.0,6.3,mww,"105 km WSW of Constitución, Chile",2023,3
2023-03-28 09:18:28.506000+00:00,41.1434,142.8148,37.0,6.0,mww,"Hokkaido, Japan region",2023,3
2023-03-18 17:12:52.481000+00:00,-2.7834,-79.8518,68.0,6.8,mww,"14 km NNW of Baláo, Ecuador",2023,3
2023-03-16 00:56:00.149000+00:00,-30.1741,-176.2047,10.0,7.0,mww,Kermadec Islands region,2023,3
2023-03-02 18:04:30.810000+00:00,-15.3766,166.3907,17.0,6.5,mww,"83 km WSW of Port-Olry, Vanuatu",2023,3
2023-02-25 21:24:47.577000+00:00,-6.0883,149.828,34.0,6.2,mww,"33 km ENE of Kandrian, Papua New Guinea",2023,2
2023-02-25 13:27:43.704000+00:00,42.8258,145.0212,55.0,6.0,mww,"Hokkaido, Japan region",2023,2
2023-02-23 00:37:38.163000+00:00,38.0552,73.2287,9.0,6.9,mww,"65 km WSW of Murghob, Tajikistan",2023,2
2023-02-20 17:04:29.747000+00:00,36.1616,36.0251,16.0,6.3,mww,"2 km NNW of Uzunba?, Turkey",2023,2
